text,label
سعيد جداً بهذا الشراء، يستحق كل ريال (54),positive
المنتج سيء جداً ولا يستحق السعر (80),negative
جودة عالية وسعر مناسب جداً (23),positive
فريق الدعم متعاون ومحترف للغاية (15),positive
نادم على هذا الشراء بشدة (24),negative
الدعم الفني غير متعاون على الإطلاق (25),negative
الدعم الفني غير متعاون على الإطلاق (85),negative
التوصيل كان سريعاً والتغليف ممتاز (58),positive
التطبيق بطيء ومليء بالأخطاء (36),negative
التوصيل كان سريعاً والتغليف ممتاز (78),positive
نادم على هذا الشراء بشدة (84),negative
فريق الدعم متعاون ومحترف للغاية (75),positive
أحببت التصميم والألوان كثيراً (69),positive
تجربة رائعة، أنصح الجميع بتجربتها (62),positive
تجربة رائعة، أنصح الجميع بتجربتها (82),positive
التوصيل كان سريعاً والتغليف ممتاز (98),positive
سعيد جداً بهذا الشراء، يستحق كل ريال (14),positive
التوصيل كان سريعاً والتغليف ممتاز (68),positive
فريق الدعم متعاون ومحترف للغاية (35),positive
التوصيل كان سريعاً والتغليف ممتاز (28),positive
خدمة العملاء رائعة وسريعة في الرد,positive
أسوأ تجربة تسوق لي هذا العام (27),negative
نادم على هذا الشراء بشدة (94),negative
أسوأ تجربة تسوق لي هذا العام (17),negative
أحببت التصميم والألوان كثيراً (29),positive
تجربة محبطة، لن أكررها مرة أخرى (22),negative
أحببت التصميم والألوان كثيراً (99),positive
فريق الدعم متعاون ومحترف للغاية (95),positive
جودة عالية وسعر مناسب جداً (93),positive
المنتج سيء جداً ولا يستحق السعر (60),negative
أفضل تجربة تسوق مررت بها هذا العام,positive
سعيد جداً بهذا الشراء، يستحق كل ريال (94),positive
تجربة محبطة، لن أكررها مرة أخرى (92),negative
أحببت التصميم والألوان كثيراً (49),positive
جودة رديئة مقارنة بالسعر المرتفع,negative
أسوأ تجربة تسوق لي هذا العام (57),negative
نادم على هذا الشراء بشدة (34),negative
التطبيق بطيء ومليء بالأخطاء (46),negative
التوصيل تأخر كثيراً والتغليف كان سيئاً (48),negative
التوصيل كان سريعاً والتغليف ممتاز (48),positive
جودة رديئة مقارنة بالسعر المرتفع (43),negative
تجربة محبطة، لن أكررها مرة أخرى (62),negative
جودة رديئة مقارنة بالسعر المرتفع (73),negative
التطبيق بطيء ومليء بالأخطاء (66),negative
التطبيق بطيء ومليء بالأخطاء (76),negative
الدعم الفني غير متعاون على الإطلاق (95),negative
لم يعجبني التصميم ولا الألوان إطلاقاً (89),negative
سعيد جداً بهذا الشراء، يستحق كل ريال (84),positive
خدمة العملاء بطيئة ولا تستجيب للشكاوى (51),negative
التوصيل كان سريعاً والتغليف ممتاز (18),positive
نادم على هذا الشراء بشدة (74),negative
أفضل تجربة تسوق مررت بها هذا العام (27),positive
خدمة العملاء بطيئة ولا تستجيب للشكاوى,negative
خدمة العملاء رائعة وسريعة في الرد (51),positive
أفضل تجربة تسوق مررت بها هذا العام (67),positive
خدمة العملاء رائعة وسريعة في الرد (21),positive
جودة عالية وسعر مناسب جداً (43),positive
لم يعجبني التصميم ولا الألوان إطلاقاً (99),negative
التوصيل تأخر كثيراً والتغليف كان سيئاً,negative
الدعم الفني غير متعاون على الإطلاق (45),negative
فريق الدعم متعاون ومحترف للغاية (65),positive
فريق الدعم متعاون ومحترف للغاية,positive
أحببت التصميم والألوان كثيراً (39),positive
الدعم الفني غير متعاون على الإطلاق,negative
لم يعجبني التصميم ولا الألوان إطلاقاً,negative
جودة عالية وسعر مناسب جداً (73),positive
التطبيق سهل الاستخدام وسريع,positive
أسوأ تجربة تسوق لي هذا العام (67),negative
المنتج ممتاز وتجاوز توقعاتي بكل صراحة (90),positive
المنتج سيء جداً ولا يستحق السعر (30),negative
تجربة رائعة، أنصح الجميع بتجربتها (72),positive
خدمة العملاء رائعة وسريعة في الرد (41),positive
المنتج ممتاز وتجاوز توقعاتي بكل صراحة (40),positive
المنتج ممتاز وتجاوز توقعاتي بكل صراحة (80),positive
المنتج ممتاز وتجاوز توقعاتي بكل صراحة (70),positive
خدمة العملاء بطيئة ولا تستجيب للشكاوى (11),negative
سعيد جداً بهذا الشراء، يستحق كل ريال (44),positive
التطبيق سهل الاستخدام وسريع (26),positive
أسوأ تجربة تسوق لي هذا العام (87),negative
المنتج سيء جداً ولا يستحق السعر,negative
تجربة رائعة، أنصح الجميع بتجربتها (42),positive
أفضل تجربة تسوق مررت بها هذا العام (47),positive
نادم على هذا الشراء بشدة (44),negative
التطبيق سهل الاستخدام وسريع (16),positive
تجربة محبطة، لن أكررها مرة أخرى (82),negative
لم يعجبني التصميم ولا الألوان إطلاقاً (59),negative
التطبيق سهل الاستخدام وسريع (86),positive
خدمة العملاء بطيئة ولا تستجيب للشكاوى (21),negative
أفضل تجربة تسوق مررت بها هذا العام (87),positive
تجربة رائعة، أنصح الجميع بتجربتها,positive
جودة رديئة مقارنة بالسعر المرتفع (13),negative
خدمة العملاء بطيئة ولا تستجيب للشكاوى (81),negative
لم يعجبني التصميم ولا الألوان إطلاقاً (39),negative
فريق الدعم متعاون ومحترف للغاية (45),positive
فريق الدعم متعاون ومحترف للغاية (55),positive
التطبيق بطيء ومليء بالأخطاء (96),negative
التطبيق بطيء ومليء بالأخطاء,negative
جودة عالية وسعر مناسب جداً (63),positive
تجربة محبطة، لن أكررها مرة أخرى (42),negative
لم يعجبني التصميم ولا الألوان إطلاقاً (49),negative
التطبيق بطيء ومليء بالأخطاء (16),negative
التوصيل تأخر كثيراً والتغليف كان سيئاً (38),negative
المنتج ممتاز وتجاوز توقعاتي بكل صراحة (60),positive
خدمة العملاء رائعة وسريعة في الرد (11),positive
سعيد جداً بهذا الشراء، يستحق كل ريال (74),positive
التطبيق سهل الاستخدام وسريع (66),positive
سعيد جداً بهذا الشراء، يستحق كل ريال (64),positive
الدعم الفني غير متعاون على الإطلاق (55),negative
أفضل تجربة تسوق مررت بها هذا العام (37),positive
تجربة محبطة، لن أكررها مرة أخرى (52),negative
التوصيل كان سريعاً والتغليف ممتاز (38),positive
جودة رديئة مقارنة بالسعر المرتفع (83),negative
جودة عالية وسعر مناسب جداً,positive
أسوأ تجربة تسوق لي هذا العام,negative
خدمة العملاء رائعة وسريعة في الرد (61),positive
التوصيل تأخر كثيراً والتغليف كان سيئاً (18),negative
الدعم الفني غير متعاون على الإطلاق (75),negative
تجربة محبطة، لن أكررها مرة أخرى,negative
خدمة العملاء بطيئة ولا تستجيب للشكاوى (71),negative
فريق الدعم متعاون ومحترف للغاية (85),positive
التوصيل تأخر كثيراً والتغليف كان سيئاً (28),negative
المنتج سيء جداً ولا يستحق السعر (90),negative
نادم على هذا الشراء بشدة (14),negative
خدمة العملاء بطيئة ولا تستجيب للشكاوى (91),negative
التطبيق بطيء ومليء بالأخطاء (56),negative
أحببت التصميم والألوان كثيراً (89),positive
المنتج ممتاز وتجاوز توقعاتي بكل صراحة,positive
التطبيق بطيء ومليء بالأخطاء (86),negative
نادم على هذا الشراء بشدة,negative
أحببت التصميم والألوان كثيراً (59),positive
تجربة محبطة، لن أكررها مرة أخرى (12),negative
خدمة العملاء رائعة وسريعة في الرد (81),positive
نادم على هذا الشراء بشدة (64),negative
خدمة العملاء رائعة وسريعة في الرد (71),positive
تجربة رائعة، أنصح الجميع بتجربتها (32),positive
